,단축코드,한글 종목명
558,109740,디에스케이
559,031860,디에이치엑스컴퍼니
560,000300,디에이치오토넥스보통주
561,290120,디에이치오토리드
562,025440,디에이치오토웨어
563,196490,디에이테크놀로지
564,066900,디에이피
565,180400,디엑스앤브이엑스
566,092070,디엔에프
567,007340,디엔오토모티브보통주
568,068790,디엠에스
569,039840,디오
570,024900,디와이덕양보통주
571,219550,디와이디
572,013570,디와이보통주
573,310870,디와이씨
574,210540,디와이파워보통주
575,092780,디와이피보통주
576,104460,디와이피엔에프
577,079810,디이엔티
578,113810,디젠스
579,043360,디지아이
580,099520,디지아이티엑스
581,197140,디지캡
582,068930,디지털대성
583,033130,디지틀조선일보
584,060900,디지피
585,105740,디케이락
586,263020,디케이앤디
587,015590,디케이엠이보통주
588,290550,디케이티
589,066670,디티씨
590,187220,디티앤씨
591,383930,디티앤씨알오
592,131180,딜리
593,315640,딥노이드
594,223310,딥마인드플랫폼
595,317120,라닉스
596,462510,라메디텍
597,042510,라온시큐어
598,232680,라온테크
599,418420,라온텍
600,300120,라온피플
601,171120,라이온켐텍
602,388790,라이콤
603,214260,라파스
604,403360,라피치
605,171010,램테크놀러지
606,084650,랩지노믹스
607,217500,러셀
608,092590,럭스피아
609,038390,레드캡투어
610,294140,레몬
611,443250,레뷰코퍼레이션
612,228670,레이
613,228850,레이언스
614,412350,레이저쎌
615,199550,레이저옵텍
616,281740,레이크머티리얼즈
617,277810,레인보우로보틱스
618,215100,로보로보
619,090360,로보스타
620,238500,로보쓰리에이아이
621,108490,로보티즈
622,900260,로스웰인터내셔널
623,223220,로지스몬
624,067730,로지시스
625,071280,로체시스템즈
626,376900,로킷헬스케어
627,032350,롯데관광개발 보통주
628,089860,롯데렌탈보통주
629,330590,롯데리츠보통주
630,000400,롯데손해보험보통주
631,023530,롯데쇼핑 보통주
632,020150,롯데에너지머티리얼즈보통주
633,280360,롯데웰푸드보통주
634,286940,롯데이노베이트보통주
635,004000,롯데정밀화학보통주
637,004990,롯데지주보통주
639,005300,롯데칠성음료보통주
640,011170,롯데케미칼보통주
641,071840,롯데하이마트보통주
642,328130,루닛
643,038060,루멘스
644,474170,루미르
645,162120,루켄테크놀러지스
646,253610,루트락
647,141080,리가켐 바이오사이언스
648,058470,리노공업
649,016100,리더스코스메틱
650,012700,리드코프
651,302550,리메드
652,073570,리튬포어스
653,377450,리파인
654,277070,린드먼아시아인베스트먼트
655,042500,링네트
656,193250,링크드
657,474650,링크솔루션
658,219420,링크제니시스
659,439090,마녀공장
660,027740,마니커보통주
661,195500,마니커에프앤지
662,357430,마스턴프리미어리츠보통주
663,377480,마음에이아이
664,305090,마이크로디지탈
665,448780,마이크로엔엑스
666,424980,마이크로투나노
667,169330,마크로밀엠브레인
668,038290,마크로젠
669,001080,만호제강보통주
670,267980,매일유업
671,005990,매일홀딩스
672,093520,매커스
673,088980,맥쿼리한국인프라투융자회사 보통주
674,179720,머니무브
675,100590,머큐리
676,067280,멀티캠퍼스
677,072870,메가스터디
678,215200,메가스터디교육
679,133750,메가엠디
680,446540,메가터치
681,235980,메드팩토
682,200580,메디쎄이
683,041920,메디아나
684,233250,메디안디노스틱
685,014100,메디앙스
686,236340,메디젠휴먼케어
687,054180,메디콕스
688,086900,메디톡스
689,078160,메디포스트
690,138040,메리츠금융지주회사보통주
691,408920,메쎄이상
692,021880,메이슨캐피탈
693,140410,메지온
694,241770,메카로
695,090370,메타랩스보통주
696,059210,메타바이오메드
697,118000,메타케어보통주
698,058110,멕아이씨에스
699,017180,명문제약 보통주
700,009900,명신산업보통주
701,012690,모나리자보통주
702,005360,모나미보통주
703,070960,모나용평보통주
704,434480,모니터랩
705,080420,모다이노칩
706,417970,모델솔루션
707,080160,모두투어네트워크
708,087260,모바일어플라이언스
709,101330,모베이스
710,012860,모베이스전자
711,363260,모비데이즈
712,348030,모비릭스
713,250060,모비스
714,288980,모아데이타
715,142760,모아라이프플러스
716,033200,모아텍
717,333050,모코엠시스
718,009680,모토닉보통주
719,118990,모트렉스
720,463480,모티브링크
721,006920,모헨즈
722,001810,무림에스피
723,009200,무림페이퍼보통주
724,009580,무림피앤피보통주
725,322970,무진메디
726,033920,무학보통주
727,008420,문배철강보통주
728,279600,미디어젠
729,095500,미래나노텍
730,254490,미래반도체
731,025560,미래산업보통주
732,218150,미래생명자원
733,007120,미래아이앤지보통주
734,396690,미래에셋글로벌리츠보통주
735,442900,미래에셋드림기업인수목적1호 주식회사
736,357250,미래에셋맵스리츠보통주
737,094800,미래에셋맵스아시아퍼시픽부동산공모1호
738,100790,미래에셋벤처투자
739,446190,미래에셋비전기업인수목적2호
740,448830,미래에셋비전기업인수목적3호
741,477380,미래에셋비전기업인수목적4호
742,477470,미래에셋비전기업인수목적5호
743,478440,미래에셋비전기업인수목적6호
744,482680,미래에셋비전기업인수목적7호
745,085620,미래에셋생명보험보통주
748,006800,미래에셋증권보통주
749,208890,미래엔에듀파트너
750,049950,미래컴퍼니
751,207760,미스터블루
752,081660,미스토홀딩스보통주
753,002840,미원상사보통주
754,268280,미원스페셜티케미칼보통주
755,107590,미원홀딩스 보통주
756,134380,미원화학보통주
757,351020,미쥬
758,003650,미창석유공업보통주
759,059090,미코
760,201490,미투온
761,475460,미트박스글로벌
762,452200,민테크
763,206640,바디텍메드
764,018700,바른손
765,035620,바른손이앤에이
766,354390,바스칸바이오제약
767,053030,바이넥스
768,301300,바이브컴퍼니
769,377740,바이오노트보통주
770,064550,바이오니아
771,314930,바이오다인
772,489460,바이오비쥬
773,086820,바이오솔루션
774,038460,바이오스마트
775,251120,바이오에프디엔씨
776,199730,바이오인프라
777,266470,바이오인프라생명과학
778,289170,바이오텐
779,086040,바이오톡스텍
780,188040,바이오포트코리아
781,199290,바이오프로테크
782,099430,바이오플러스
783,032980,바이온
784,308080,바이젠셀
785,043150,바텍
786,323990,박셀바이오
787,003610,방림보통주
788,267790,배럴
789,046310,백금티앤에이
790,035150,백산보통주
791,331520,밸로프
792,199480,뱅크웨어글로벌
793,438700,버넥트
794,066410,버킷스튜디오
795,002410,범양건영보통주
796,382900,범한퓨얼셀
797,206400,베노티앤알
798,019010,베뉴지
799,177350,베셀
800,457600,벡트
801,424760,벨로크
802,007210,벽산보통주
803,250000,보라티알
804,002760,보락보통주
805,003850,보령보통주
806,310210,보로노이
807,006910,보성파워텍
808,000890,보해양조보통주
809,226340,본느
810,206950,볼빅
811,008470,부-스타
812,003000,부광약품보통주
814,001270,부국증권보통주
815,026940,부국철강 보통주
816,014470,부방
817,011390,부산산업보통주
818,005030,부산주공보통주
819,338220,뷰노
820,100120,뷰웍스
821,406820,뷰티스킨
822,099390,브레인즈컴퍼니
823,064480,브리지텍
824,288330,브릿지바이오테라퓨틱스
825,365900,브이씨
826,089970,브이엠
827,251630,브이원텍
828,018290,브이티
829,478560,블랙야크아이앤씨
830,439580,블루엠텍
831,033560,블루콤
832,191600,블루탑
833,369370,블리츠웨이엔터테인먼트
834,126340,비나텍
835,121800,비덴트
836,082800,비보존제약
837,318410,비비씨
838,002070,비비안보통주
839,100220,비상교육 보통주
840,419540,비스토스
841,146320,비씨엔씨
842,200780,비씨월드제약
843,413640,비아이매트릭스
844,141000,비아트론
845,090460,비에이치보통주
846,083650,비에이치아이
847,139050,비에프랩스
848,473370,비엔케이제2호기업인수목적
849,065170,비엘팜텍
850,086670,비엠티
851,335890,비올
852,230980,비유테크놀러지
853,126600,비지에프에코머티리얼즈
854,082920,비츠로셀
855,054220,비츠로시스
856,042370,비츠로테크
857,050090,비케이홀딩스
858,148780,비큐에이아이
859,307870,비투엔
860,377030,비트맥스
861,032850,비트컴퓨터
862,238200,비피도
863,093190,빅솔론
864,065450,빅텍
865,044480,빌리언스
866,005180,빙그레보통주
867,069540,빛과전자
868,072950,빛샘전자
869,266170,뿌리깊은나무들
870,451250,삐아
871,143240,사람인
872,466410,사이냅소프트
873,003960,사조대림보통주
874,008040,사조동아원보통주
875,007160,사조산업보통주
876,014710,사조씨푸드보통주
877,006090,사조오양보통주
878,452430,사피엔반도체
879,419120,산돌
880,062040,산일전기보통주
881,122350,삼기
882,419050,삼기에너지솔루션즈
883,014970,삼륭물산
884,018310,삼목에스폼
885,012210,삼미금속
886,053700,삼보모터스
887,009620,삼보산업
888,023600,삼보판지
889,001470,삼부토건보통주
890,028050,삼성E&A보통주
891,448730,삼성FN리츠보통주
893,006400,삼성SDI보통주
894,006660,삼성공조보통주
895,448740,삼성기업인수목적8호
897,028260,삼성물산보통주
898,207940,삼성바이오로직스보통주
899,032830,삼성생명보험보통주
900,018260,삼성에스디에스보통주
902,009150,삼성전기보통주
904,005930,삼성전자보통주
905,001360,삼성제약
906,010140,삼성중공업보통주
907,016360,삼성증권보통주
908,068290,삼성출판사보통주
909,029780,삼성카드 보통주
911,000810,삼성화재해상보험보통주
912,006110,삼아알미늄보통주
913,009300,삼아제약
915,145990,삼양사보통주
916,003230,삼양식품보통주
917,482630,삼양엔씨켐
918,036670,삼양케이씨아이
919,002170,삼양통상보통주
920,272550,삼양패키징보통주
922,000070,삼양홀딩스보통주
923,060310,삼에스코리아
924,002810,삼영무역보통주
925,003720,삼영보통주
